School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
ARCOLA HIGH SCHOOL,Illinois,1.70E+11,IL ,Douglas County,2-No,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,340,153,–,12,165,178,162,–,2,150,1,186,–,1,340,24.38,13.95
ARCOLA INTRMD SCH,Pennsylvania,4.21E+11,PA ,Montgomery County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,804,95,–,2,97,425,379,1,120,28,24,580,0,51,804,61.35,13.11
ARCOLA LAKE ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Miami-Dade County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,505,440,416,7,447,284,221,0,0,152,348,5,0,0,505,39,12.95
ARCOLA SCHOOL,Indiana,1.81E+11,IN ,Allen County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,181,45,49,12,57,91,90,2,–,13,2,155,–,9,181,16.5,10.97
ARCTIC LIGHT ELEMENTARY,Alaska,20060000055,AK ,Fairbanks North Star Borough,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,538,163,3,127,290,271,267,7,8,127,97,228,23,48,538,27.36,19.66
ARCTIC VILLAGE SCHOOL,Alaska,20077500358,AK ,Yukon-Koyukuk Census Area,2-No,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes under Community Eligibility Option (CEO),33,33,30,0,33,19,14,33,0,0,0,0,0,0,33,4,8.25
ARDEN ELEMENTARY,South Carolina,4.50E+11,SC ,Richland County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),327,327,324,0,327,177,150,0,2,57,251,8,0,9,327,27,12.11
ARDEN MIDDLE,California,63462005753,CA ,Sacramento County,2-No,2-No,–,13-City: Small,†,2-No,6-Not a Title I school,No,974,346,–,43,389,486,488,4,43,237,55,593,14,28,974,37.91,25.69
ARDEN ROAD EL,Texas,4.81E+11,TX ,Randall County,2-No,2-No,–,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,476,100,–,13,113,237,239,4,7,109,10,330,2,14,476,28.06,16.96
ARDENA ELEMENTARY SCHOOL,New Jersey,3.41E+11,NJ ,Monmouth County,2-No,†,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,348,68,–,14,82,168,180,–,27,57,10,242,1,11,348,30.9,11.26
ARDENWALD ELEMENTARY SCHOOL,Oregon,4.11E+11,OR ,Clackamas County,2-No,†,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,433,164,–,37,201,239,194,3,3,83,7,304,2,31,433,22.83,18.97
ARDENWOOD ELEMENTARY,California,61440008138,CA ,Alameda County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,948,74,–,9,83,493,455,–,792,44,10,71,1,30,948,36,26.33
ARDIS G. EGAN JUNIOR HIGH,California,62265002786,CA ,Santa Clara County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,611,42,–,7,49,308,303,2,207,57,2,281,1,61,611,33.07,18.48
ARDMORE AVENUE SCH,Pennsylvania,4.23E+11,PA ,Delaware County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),569,569,–,0,569,296,273,5,24,42,447,39,0,12,569,30.7,18.53
ARDMORE ELEM SCHOOL,Illinois,1.74E+11,IL ,DuPage County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,526,114,–,6,120,251,275,3,14,113,5,363,–,28,526,29,18.14
ARDMORE ELEM SCHOOL,Illinois,1.70E+11,IL ,DuPage County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,269,179,–,10,189,128,141,1,8,185,12,60,1,2,269,20.4,13.19
ARDMORE ELEMENTARY,Maryland,2.40E+11,MD ,Prince George's County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,413,205,–,45,250,194,219,1,3,51,348,4,2,4,413,25.86,15.97
ARDMORE ELEMENTARY SCHOOL,Washington,5.30E+11,WA ,King County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,420,131,–,42,173,211,209,1,146,105,23,117,1,27,420,25.32,16.59
ARDMORE ELEMENTARY SCHOOL,Michigan,2.62E+11,MI ,Macomb County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,390,119,–,30,149,196,194,0,1,14,21,331,0,23,390,17.55,22.22
ARDMORE HIGH SCHOOL,Alabama,10210000797,AL ,Limestone County,2-No,2-No,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,No,968,297,194,88,385,525,443,11,10,54,7,878,1,7,968,47.95,20.19
ARDMORE HS,Oklahoma,4.00E+11,OK ,Carter County,2-No,†,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),803,642,409,0,642,405,398,100,13,138,139,391,5,17,803,48.2,16.66
ARDMORE MS,Oklahoma,4.00E+11,OK ,Carter County,2-No,†,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),572,572,334,0,572,286,286,51,4,123,87,266,–,41,572,33.93,16.86
ARDREY KELL HIGH,North Carolina,3.70E+11,NC ,Mecklenburg County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,3178,214,–,57,271,1621,1557,4,608,293,375,1816,5,77,3178,146.69,21.66
ARDSLEY HIGH SCHOOL,New York,3.60E+11,NY ,Westchester County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,677,51,–,6,57,367,310,0,127,76,30,439,1,4,677,60,11.28
ARDSLEY MIDDLE SCHOOL,New York,3.60E+11,NY ,Westchester County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,694,41,–,9,50,388,306,0,142,93,29,412,1,17,694,56.02,12.39
AREA 30 CAREER CENTER,Indiana,1.80E+11,IN ,Putnam County,2-No,2-No,2-No,32-Town: Distant,†,†,†,Yes participating without using any Provision or the CEO,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
AREA 31 CAREER & TECH CENTER,INDIANA,1.81E+11,IN ,Marion County,2-No,2-No,2-No,11-City: Large,†,†,†,–,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
AREA ADULT LEARNING COOPERATIVE,Minnesota,2.72E+11,MN ,Le Sueur County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,No,2,‡,–,‡,‡,1,1,–,–,–,–,2,–,–,2,1.84,1.09
AREA CAREER CENTER,Indiana,1.80E+11,IN ,Lake County,2-No,2-No,2-No,21-Suburb: Large,†,†,†,Yes participating without using any Provision or the CEO,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
AREA LEARNING CENTER SUMMER,Minnesota,2.74E+11,MN ,Ramsey County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,California,60558009314,CA ,Santa Barbara County,2-No,2-No,–,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,313,255,–,33,288,156,157,2,1,300,–,8,–,2,313,17.15,18.25
ARELLANES JUNIOR HIGH,California,60558010660,CA ,Santa Barbara County,2-No,2-No,–,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,642,498,–,73,571,322,320,–,22,593,2,24,1,–,642,30.4,21.12
ARENA ELEMENTARY,California,60309000242,CA ,Mendocino County,2-No,2-No,–,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,No,232,167,–,27,194,122,110,24,–,130,–,64,–,14,232,15.02,15.45
ARENA HIGH (CONTINUATION),California,61221008826,CA ,Los Angeles County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,41,8,–,2,10,20,21,0,2,10,2,25,0,2,41,2,20.5
ARENDTSVILLE EL SCH,Pennsylvania,4.22E+11,PA ,Adams County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,190,91,–,16,107,99,91,0,1,56,0,131,0,2,190,15.65,12.14
ARETE CHARTER ACADEMY,CALIFORNIA,63093014123,CA ,Nevada County,1-Yes,2-No,–,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,11,4,–,0,4,8,3,0,0,0,0,11,0,0,11,1,11
ARGENT PREPARATORY ACADEMY,Nevada,3.20E+11,NV ,Carson City,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,133,40,17,12,52,70,63,5,–,16,1,99,3,9,133,8,16.63
ARGENTA-OREANA ELEMENTARY SCHOOL,Illinois,1.70E+11,IL ,Macon County,2-No,2-No,2-No,23-Suburb: Small,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,482,206,–,28,234,256,226,1,8,28,17,404,3,21,482,30.7,15.7
ARGENTA-OREANA HIGH SCHOOL,Illinois,1.70E+11,IL ,Macon County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,284,111,–,11,122,134,150,1,–,9,12,250,2,10,284,22,12.91
ARGENTA-OREANA MIDDLE SCHOOL,Illinois,1.70E+11,IL ,Macon County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,198,93,–,0,93,113,85,–,3,4,6,167,2,16,198,15.3,12.94
ARGENTINE ELEMENTARY SCHOOL,Michigan,2.62E+11,MI ,Genesee County,2-No,2-No,2-No,21-Suburb: Large,†,†,†,Yes participating without using any Provision or the CEO,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,2.5,0
ARGENTINE MIDDLE,Kansas,2.01E+11,KS ,Wyandotte County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),659,503,–,68,571,358,301,1,15,454,72,100,–,17,659,53.2,12.39
ARGILLITE ELEMENTARY SCHOOL,Kentucky,2.10E+11,KY ,Greenup County,†,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),288,188,–,18,206,146,142,–,1,10,2,271,–,4,288,15.8,18.23
ARGO COMMUNITY HIGH SCHOOL,Illinois,1.70E+11,IL ,Cook County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,1909,1152,–,96,1248,1004,905,2,34,961,233,643,2,34,1909,123.5,15.46
ARGONAUT ELEMENTARY,California,63591006147,CA ,Santa Clara County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,343,6,–,0,6,169,174,–,269,9,–,35,–,30,343,15,22.87
ARGONAUT HIGH,California,60245008787,CA ,Amador County,2-No,2-No,–,32-Town: Distant,†,2-No,6-Not a Title I school,No,475,171,–,17,188,238,237,7,8,114,4,307,4,31,475,20.23,23.48
ARGONIA ELEM,Kansas,2.00E+11,KS ,Sumner County,2-No,2-No,–,43-Rural: Remote,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,94,42,–,5,47,49,45,1,–,12,5,74,–,2,94,8.4,11.19
ARGONIA HIGH,Kansas,2.00E+11,KS ,Sumner County,2-No,2-No,–,43-Rural: Remote,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,87,23,–,11,34,38,49,1,0,8,0,73,0,5,87,10.5,8.29
ARGONNE ELEMENTARY,California,63441005586,CA ,San Francisco County,2-No,2-No,–,11-City: Large,†,2-No,6-Not a Title I school,No,435,112,–,18,130,226,209,–,143,51,5,141,1,94,435,18,24.17
ARGOS COMM JR-SR HIGH SCHOOL,Indiana,1.80E+11,IN ,Marshall County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,315,98,92,27,125,167,148,1,–,16,3,286,–,9,315,20.02,15.73
ARGOS COMMUNITY ELEMENTARY,Indiana,1.80E+11,IN ,Marshall County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,340,135,134,40,175,167,173,–,–,20,1,312,–,7,340,20,17
ARGOSY COLLEGIATE CHARTER SCHOOL,MASSACHUSETTS,2.50E+11,MA ,Bristol County,1-Yes,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,398,–,219,–,–,211,187,2,8,75,42,247,2,22,398,37.2,10.7
ARGUS HIGH (CONTINUATION),California,60813000782,CA ,Stanislaus County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,210,171,–,7,178,131,79,2,5,155,3,39,1,5,210,7.99,26.28
ARGYLE ELEMENTARY,Minnesota,2.70E+11,MN ,Marshall County,2-No,2-No,2-No,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,161,30,–,29,59,79,82,–,–,14,1,140,–,6,161,8.96,17.97
ARGYLE ELEMENTARY,Wisconsin,5.50E+11,WI ,Lafayette County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,138,34,–,6,40,63,75,2,–,2,–,133,–,1,138,13.78,10.01
ARGYLE ELEMENTARY SCHOOL,Georgia,1.30E+11,GA ,Cobb County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,421,344,95,24,368,197,224,2,15,247,129,19,0,9,421,42,10.02
ARGYLE ELEMENTARY SCHOOL,New York,3.60E+11,NY ,Washington County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,276,110,–,7,117,145,131,0,1,6,1,266,0,2,276,24.5,11.27
ARGYLE ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Clay County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,735,293,263,31,324,382,353,0,25,136,219,296,3,56,735,51,14.41
ARGYLE H S,Texas,4.81E+11,TX ,Denton County,2-No,2-No,–,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,854,40,–,11,51,471,383,6,14,84,7,727,0,16,854,58.88,14.5
ARGYLE HIGH,Wisconsin,5.50E+11,WI ,Lafayette County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,99,16,–,9,25,51,48,–,2,3,1,92,–,1,99,9.3,10.65
ARGYLE INT,Texas,4.81E+11,TX ,Denton County,2-No,2-No,–,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,400,37,–,3,40,228,172,0,15,41,3,327,0,14,400,25.8,15.5
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,New York,3.60E+11,NY ,Washington County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,237,86,–,8,94,109,128,0,3,8,0,223,0,3,237,22.01,10.77
ARGYLE MIDDLE,Maryland,2.40E+11,MD ,Montgomery County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,989,443,–,98,541,610,379,2,99,464,298,104,1,21,989,62.88,15.73
ARGYLE MIDDLE,Texas,4.81E+11,TX ,Denton County,2-No,2-No,–,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,679,37,–,9,46,360,319,2,20,80,14,549,0,14,679,42.11,16.12
ARGYLE MIDDLE,WISCONSIN,5.50E+11,WI ,Lafayette County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,65,17,–,5,22,33,32,–,–,3,–,62,–,–,65,5.79,11.23
ARICKAREE ELEMENTARY SCHOOL,Colorado,80222000041,CO ,Washington County,2-No,2-No,2-No,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,45,26,18,2,28,23,22,–,–,23,–,22,–,–,45,6.28,7.17
ARICKAREE UNDIVIDED HIGH SCHOOL,Colorado,80222000042,CO ,Washington County,2-No,2-No,2-No,43-Rural: Remote,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,56,23,9,2,25,32,24,–,–,14,–,42,–,–,56,7.06,7.93
ARIEL ELEM COMMUNITY ACADEMY,Illinois,1.71E+11,IL ,Cook County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),519,435,–,0,435,278,241,–,–,6,510,1,–,2,519,27.32,19
ARIS,Minnesota,2.70E+11,MN ,Washington County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,12,5,–,0,5,7,5,0,2,2,1,6,0,1,12,1.42,8.45
ARISE ACADEMY,LOUISIANA,2.20E+11,LA ,Orleans Parish,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),485,398,–,–,398,268,217,–,–,5,476,2,–,2,485,27.17,17.85
ARISE HIGH,California,62805012040,CA ,Alameda County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,288,227,–,19,246,147,141,–,11,266,8,–,–,3,288,18.6,15.48
ARISE SHELTER CARE - 71,SOUTH DAKOTA,4.67E+11,SD ,Minnehaha County,2-No,†,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes under Provision 3,6,‡,–,‡,‡,2,4,2,0,2,0,2,0,0,6,0.45,13.33
ARISE VIRTUAL ACADEMY,WISCONSIN,5.51E+11,WI ,Rock County,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,No,100,37,–,3,40,38,62,–,–,7,3,82,–,8,100,6.65,15.04
ARISTOI CLASSICAL ACADEMY,Texas,4.80E+11,TX ,Harris County,1-Yes,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,439,98,–,23,121,247,192,2,9,115,50,246,0,17,439,23.11,19
ARISTOI CLASSICAL UPPER SCHOOL,TEXAS,4.80E+11,TX ,Harris County,1-Yes,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,417,73,–,12,85,187,230,3,10,132,29,227,1,15,417,31.88,13.08
ARISTOTLE PREPARATORY ACADEMY,North Carolina,3.70E+11,NC ,Mecklenburg County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,124,106,–,0,106,72,52,0,0,5,111,1,0,7,124,10.39,11.93
ARITON SCHOOL,Alabama,10105000388,AL ,Dale County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,690,319,247,39,358,370,320,3,4,47,73,551,2,10,690,37,18.65
ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY,Arizona,40016401726,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,34,21,–,5,26,17,17,3,0,17,7,6,0,1,34,–,†
ARIZONA AGRIBUSINESS & EQUINE CENTER - ESTRELLA,Arizona,40082803199,AZ ,Maricopa County,1-Yes,–,2-No,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,No,400,–,–,–,–,163,237,1,23,162,28,174,1,11,400,–,†
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - MESA,ARIZONA,40096903543,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,41,–,–,–,–,13,28,1,0,10,4,25,1,0,41,–,†
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - PRESCOTT VALLEY,Arizona,40083803243,AZ ,Yavapai County,1-Yes,–,2-No,23-Suburb: Small,†,2-No,6-Not a Title I school,No,236,–,–,–,–,78,158,0,2,26,2,203,0,3,236,–,†
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - RED MOUNTAIN,Arizona,40042602528,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,144,–,–,–,–,55,89,1,3,19,4,114,1,2,144,–,†
ARIZONA AUTISM CHARTER SCHOOL,ARIZONA,40091303455,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,106,–,–,–,–,93,13,2,8,55,7,30,2,2,106,–,†
ARIZONA AUTISM CHARTER SCHOOL UPPER SCHOOL CAMPUS,ARIZONA,40091303512,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,–,–,–,No,71,–,–,–,–,61,10,3,4,35,3,21,1,4,71,–,†
ARIZONA CHARTER ACADEMY,Arizona,40032602162,AZ ,Maricopa County,1-Yes,–,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,749,456,–,67,523,389,360,3,3,492,92,143,1,15,749,–,†
ARIZONA CITY ELEMENTARY SCHOOL,Arizona,40855003405,AZ ,Pinal County,2-No,–,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),591,490,–,47,537,302,289,27,2,330,23,199,0,10,591,0,†
ARIZONA COLLEGE PREP ACADEMY,Arizona,40086201783,AZ ,Pima County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,109,67,–,11,78,53,56,1,3,64,8,30,0,3,109,–,†
ARIZONA COLLEGE PREP ERIE CAMPUS,Arizona,40187002822,AZ ,Maricopa County,2-No,–,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,769,61,–,15,76,385,384,4,192,106,44,395,0,28,769,39.25,19.59
ARIZONA COLLEGE PREP OAKLAND CAMPUS,Arizona,40187002995,AZ ,Maricopa County,2-No,–,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,626,37,–,12,49,311,315,3,187,114,12,276,1,33,626,28.65,21.85
ARIZONA COLLEGIATE HIGH SCHOOL,Arizona,40082103226,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,162,144,–,12,156,77,85,2,0,139,12,8,0,1,162,–,†
ARIZONA CONNECTIONS ACADEMY,Arizona,40042703160,AZ ,Maricopa County,1-Yes,–,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,No,2196,–,–,–,–,1042,1154,49,31,558,133,1227,5,193,2196,–,†
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,Arizona,40065303069,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,180,–,–,–,–,59,121,2,8,44,7,106,1,12,180,–,†
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS ELEMENTARY SCHOO,Arizona,40063702032,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,269,–,–,–,–,105,164,3,5,96,35,110,4,16,269,–,†
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS MIDDLE SCHOOL,Arizona,40065303004,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,194,–,–,–,–,71,123,0,1,48,20,112,1,12,194,–,†
ARIZONA DESERT ELEMENTARY SCHOOL,Arizona,40324001806,AZ ,Yuma County,2-No,–,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,687,632,–,27,659,373,314,0,0,686,0,1,0,0,687,21,32.71
ARIZONA DESERT ELEMENTARY SCHOOL,Arizona,40849001705,AZ ,Maricopa County,2-No,–,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,576,437,–,57,494,287,289,11,2,474,59,21,1,8,576,30.25,19.04
ARIZONA FLEMING EL,TEXAS,4.82E+11,TX ,Fort Bend County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,659,383,–,41,424,352,307,1,121,369,120,31,0,17,659,46.36,14.21
ARIZONA INSIGHT ACADEMY,Arizona,40043203324,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,965,–,–,–,–,466,499,33,5,251,63,543,3,67,965,–,†
ARIZONA IZONE INSTITUTE ONLINE PROGRAM,Arizona,40237003299,AZ ,Yavapai County,2-No,–,2-No,32-Town: Distant,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,–,†
ARIZONA LANGUAGE PREPARATORY,ARIZONA,40091803426,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,77,–,–,–,–,36,41,2,4,25,1,40,0,5,77,–,†
